status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,plaintext
x983398359489708033,4/9/2018 17:36,x347231659,cinderellabxny,Clever Stuff for Twins to Sleep In https://t.co/jr0h0rLIdB by @pickle_mom,Paper.li,,,,FALSE,FALSE,0,0,,,paper.li/cinderellabxny…,https://t.co/jr0h0rLIdB,https://paper.li/cinderellabxny/1477334186?read=https%3A%2F%2Ftwinpickle.com%2F2018%2F04%2F06%2Fstuff%2Dfor%2Dtwins%2Dto%2Dsleep%2Din%2F,,,,,,,,,x770310449480867841,Pickle_Mom,en,,,,,,,,,,,,,,Clever Stuff for Twins to Sleep Inby @pickle_mom
x983397147080044544,4/9/2018 17:32,x92893224,JBX_Legacy,"@Ana_Kay31 7:30, I normally stick around until 9 but I was too tired and out of it",Twitter for iPhone,x983396883468079104,x758841820054818816,Ana_Kay31,FALSE,FALSE,0,0,,,,,,,,,,,,,,x758841820054818816,Ana_Kay31,en,,,,,,,,,,,,,,"@Ana_Kay31 7:30, I normally stick around until 9 but I was too tired and out of it"
x983393950693195776,4/9/2018 17:19,x3371646849,NeuroChriscomic,"@Wiishu One time I had to sleep in the airport overnight and I wanted to charge my phone. So I ended up spooning my ""carry-on"" while sleeping next to an outlet with my phone charging.",Twitter for Android,x983390712157884417,x145748714,Wiishu,FALSE,FALSE,3,1,,,,,,,,,,,,,,x145748714,Wiishu,en,,,,,,,,,,,,,,"@Wiishu One time I had to sleep in the airport overnight and I wanted to charge my phone. So I ended up spooning my ""carry-on"" while sleeping next to an outlet with my phone charging."
x983393896028884992,4/9/2018 17:19,x1003376605,thegreenranger_,im tired. tired of this. tired of people. tired of the weather. tired cus i'm tired. tired of fake love fake care. i'm just tired!!!,Twitter for iPhone,,,,FALSE,FALSE,19,14,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,im tired. tired of this. tired of people. tired of the weather. tired cus i'm tired. tired of fake love fake care. i'm just tired!!!
x983392162695077888,4/9/2018 17:12,x2779351101,_Obliviate_x,"bri: i was so tired this morning i put mascara on my lips thinking it was lipstick

SISSS LMFAO",Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,bri: i was so tired this morning i put mascara on my lips thinking it was lipstick SISSS LMFAO
x983388014159294467,4/9/2018 16:55,x156273036,sahiraam_,Wish I could take a nap,Twitter for iPhone,,,,FALSE,FALSE,1,1,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Wish I could take a nap
x983387906822868994,4/9/2018 16:55,x850152902593261569,TylaToles,So tired of everyone’s vibes lately everybody been moving funny,Twitter for iPhone,,,,FALSE,FALSE,1,2,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json,Bronx,"Bronx, NY",city,United States,US,,,-73.933612 -73.765271 -73.765271 -73.933612 40.785365 40.785365 40.91533 40.91533,So tired of everyone's vibes lately everybody been moving funny
x983385265929584641,4/9/2018 16:44,x4226850285,AvoidSane,@Golgiez Lol I'm tired of u always commenting  and not liking it<f0><U+009F><U+0092><U+00AF>,Twitter for Android,x983384795794337792,x3003831491,Golgiez,FALSE,FALSE,2,0,,,,,,,,,,,,,,x3003831491,Golgiez,en,,,,,,,,,,,,,,@Golgiez Lol I'm tired of u always commenting and not liking it
x983382065340039168,4/9/2018 16:32,x936196220480978945,petalunicorn,Sofa bed area selayang mana nak cari ?thank you in advance,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,in,,,,,,,,,,,,,,Sofa bed area selayang mana nak cari ?thank you in advance
x983379034884263937,4/9/2018 16:20,x327698189,PG_CoachSteve,@Grr_George lmao he looks so old and tired of the bullshit,Twitter for Android,x983378382070210560,x3098074807,Grr_George,FALSE,FALSE,0,0,,,,,,,,,,,,,,x3098074807,Grr_George,en,,,,,,,,,,,,,,@Grr_George lmao he looks so old and tired of the bullshit
x983378334045429760,4/9/2018 16:17,x90404945,Mmggrz,@IAmTheBoschMan Oh I'm sorry. I'm just surviving on no sleep and having a mild stroke today. I also dont have access to this set and lighting!! Today your hair may look better than mine :(,Twitter Web Client,x983377062059741186,x55453387,IAmTheBoschMan,FALSE,FALSE,1,1,,,,,,,,,,,,,,x55453387,IAmTheBoschMan,en,,,,,,,,,,,,,,@IAmTheBoschMan Oh I'm sorry. I'm just surviving on no sleep and having a mild stroke today. I also dont have access to this set and lighting!! Today your hair may look better than mine :(
x983373444871057408,4/9/2018 15:57,x15623425,Blk_Intellect,BX Baby! All Day! Don't Sleep! https://t.co/McErdkwphR,Twitter Web Client,,,,TRUE,FALSE,1,0,,,twitter.com/politiCOHEN_/s…,https://t.co/McErdkwphR,https://twitter.com/politiCOHEN_/status/983341153369116673,,,,,,,,,,,en,x983341153369116673,"there is nothing i love more than cardi b explaining why she loves FDR &amp; political science. 

a great interview from @caityweaver: https://t.co/7oQQ3VimFZ https://t.co/s3jltR29SK",,,,,,,,,,,,BX Baby! All Day! Don't Sleep!
x983373076506333184,4/9/2018 15:56,x2893252875,foodeatschris,I can honestly say Tay K one of the waviest artist out rn I don’t get tired of his music and I can understand wtf he sayin word for word,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,I can honestly say Tay K one of the waviest artist out rn I don't get tired of his music and I can understand wtf he sayin word for word
x983371954664214528,4/9/2018 15:51,x1527719251,j_machiavellian,People sleep on Doom... https://t.co/EsuWQG7TrY,Twitter for iPhone,,,,TRUE,FALSE,2,0,,,twitter.com/jay_miggs/stat…,https://t.co/EsuWQG7TrY,https://twitter.com/jay_miggs/status/983364601927610370,,,,,,,,,,,en,x983364601927610370,Doom is hands down top 3 villains ever https://t.co/1DwTL1IFFr,,,,,,,,,,,,People sleep on Doom...
x983370129781264385,4/9/2018 15:44,x143921722,_Teekz,I'm fucking tired,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,I'm fucking tired
x983369881738498049,4/9/2018 15:43,x38034522,CleverlyChloe,@SunnyBanks_ im tired of being cold,Twitter Web Client,x983369674795532288,x27800073,SunnyBanks_,FALSE,FALSE,0,0,,,,,,,,,,,,,,x27800073,SunnyBanks_,en,,,,,,,,,,,,,,@SunnyBanks_ im tired of being cold
x983369510194466817,4/9/2018 15:42,x55794790,Ty_Terrific,Can I just stay in bed forever? I just love my bed,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json,Bronx,"Bronx, NY",city,United States,US,,,-73.933612 -73.765271 -73.765271 -73.933612 40.785365 40.785365 40.91533 40.91533,Can I just stay in bed forever? I just love my bed
x983367986600964096,4/9/2018 15:36,x380542479,kaydesignsny,@Dominique_Remy Take a power nap,Twitter for iPhone,x983367852857184256,x415756980,Dominique_Remy,FALSE,FALSE,0,0,,,,,,,,,,,,,,x415756980,Dominique_Remy,en,,,,,,,,,,,,,,@Dominique_Remy Take a power nap
x983367264534745088,4/9/2018 15:33,x1708892395,To0DamAx,I sleep in my car more than my bed,Twitter for iPhone,,,,FALSE,FALSE,2,1,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,I sleep in my car more than my bed
x983365352469008385,4/9/2018 15:25,x892033894773645312,AHoodratHippie,Just deleted my @Uber account. I’m tired of their poor customer service and Uber drivers from hell. It’s 2018 I won’t be paying for shitty service from companies who are supposed to have gotten it together by now.,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,x19103481,Uber,en,,,,,,,,,,,,,,Just deleted my @Uber account. I'm tired of their poor customer service and Uber drivers from hell. It's 2018 I won't be paying for shitty service from companies who are supposed to have gotten it together by now.
x983364404426215424,4/9/2018 15:21,x543780273,MrDane1982,"I like Bernie Sanders used on President Obama when he wanted to primary him because like Bernie Sanders said he was a weak Republican lite naive man, I'm tired of people not know Bernie Sanders resume and pumping their chest defending him like he's worthy of the defense. https://t.co/RL0sainaWR",Twitter for Android,,,,TRUE,FALSE,32,7,,,twitter.com/iDirectorX/sta…,https://t.co/RL0sainaWR,https://twitter.com/iDirectorX/status/982773268997259264,,,,,,,,,,,en,x982773268997259264,@Bakari_Sellers You may have great taste in music videos but your take on Bernie is waaaayyyyyyy off base bruv. That’s the type of stuff Rs used to do with Obama. Remember the “you didn’t build that” controversy?,,,,,,,,,,,,"I like Bernie Sanders used on President Obama when he wanted to primary him because like Bernie Sanders said he was a weak Republican lite naive man, I'm tired of people not know Bernie Sanders resume and pumping their chest defending him like he's worthy of the defense."
x983362059818688512,4/9/2018 15:12,x1554923587,ComptonAssB,These niggas woke me up and i aint been sleep since <f0><U+009F><U+0099><U+0084><f0><U+009F><U+0099><U+0084><f0><U+009F><U+0099><U+0084><f0><U+009F><U+0099><U+0084><f0><U+009F><U+0099><U+0084><f0><U+009F><U+0099><U+0084>,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json,Bronx,"Bronx, NY",city,United States,US,,,-73.933612 -73.765271 -73.765271 -73.933612 40.785365 40.785365 40.91533 40.91533,These niggas woke me up and i aint been sleep since
