status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,plaintext
x983127702105444352,4/8/2018 23:41,x1935464324,naughty1loveb,Watching chaturbate live with @BrandonWildeXXX @itsdaveslick looking so perfectly together in bed <f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D> @BrandonWildeXXX @itsdaveslick https://t.co/Jthz9LPLnU,Twitter for Android,,,,FALSE,FALSE,12,5,,,,,,http://pbs.twimg.com/media/DaTFbdqV4AEGSbT.jpg,https://t.co/Jthz9LPLnU,https://twitter.com/naughty1loveb/status/983127702105444352/photo/1,photo,http://pbs.twimg.com/media/DaTFbdqV4AEGSbT.jpg,https://t.co/Jthz9LPLnU,https://twitter.com/naughty1loveb/status/983127702105444352/photo/1,,x99377235 814668689563787265 99377235 814668689563787265,BrandonWildeXXX itsdaveslick BrandonWildeXXX itsdaveslick,en,,,,,https://api.twitter.com/1.1/geo/id/00c55f041e27dc51.json,Staten Island,"Staten Island, NY",city,United States,US,,,-74.255641 -74.052253 -74.052253 -74.255641 40.495865 40.495865 40.648887 40.648887,Watching chaturbate live with @BrandonWildeXXX @itsdaveslick looking so perfectly together in bed @BrandonWildeXXX @itsdaveslick
x983122369584730112,4/8/2018 23:20,x343208845,Its_Tolerance,@xMattachew shiet even the filler was entertaining i went into a deep depression sleep after hearing it was a filler,Twitter Web Client,x982893679898714112,x2316527526,xMattachew,FALSE,FALSE,0,0,,,,,,,,,,,,,,x2316527526,xMattachew,en,,,,,,,,,,,,,,@xMattachew shiet even the filler was entertaining i went into a deep depression sleep after hearing it was a filler
x983119705115365376,4/8/2018 23:09,x254818935,BodhisattvaBill,@wendellw46 Damn thats rough!! Sleep well fam,Twitter for Android,x983118712369709056,x246238266,wendellw46,FALSE,FALSE,0,0,,,,,,,,,,,,,,x246238266,wendellw46,en,,,,,https://api.twitter.com/1.1/geo/id/00c55f041e27dc51.json,Staten Island,"Staten Island, NY",city,United States,US,,,-74.255641 -74.052253 -74.052253 -74.255641 40.495865 40.495865 40.648887 40.648887,@wendellw46 Damn thats rough!! Sleep well fam
x983114929971621890,4/8/2018 22:50,x890106922833149952,BodegaaCat,Mandem will cheat fine and sleep at night like a baby but it’s an open relationship that will have them thinking is nonsense,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Mandem will cheat fine and sleep at night like a baby but it's an open relationship that will have them thinking is nonsense
x983104372409339904,4/8/2018 22:08,x448613134,jackie_sully,"I’m sick as fuck i woke up this morning ate went back to sleep, i woke up again at 3 ate and went back to sleep so i suspect since I’m awake I’ll be eating and going back to sleep soon",Twitter for iPhone,,,,FALSE,FALSE,3,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/00c55f041e27dc51.json,Staten Island,"Staten Island, NY",city,United States,US,,,-74.255641 -74.052253 -74.052253 -74.255641 40.495865 40.495865 40.648887 40.648887,"I'm sick as fuck i woke up this morning ate went back to sleep, i woke up again at 3 ate and went back to sleep so i suspect since I'm awake I'll be eating and going back to sleep soon"
x983104020158951424,4/8/2018 22:07,x982785027045027840,ihtsjam2,Only got three hours of sleep <f0><U+009F><U+0098><U+00A9>,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Only got three hours of sleep
x983101794262900737,4/8/2018 21:58,x827394712214528002,Bill2024,"This team is fucking pathetic, absolutely fucking awful. Nothing else to say they’re all a bunch of choking fucks. I’m tired of the “it’s ten games in” no this shit isn’t going to go away!",Twitter for iPad,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,"This team is fucking pathetic, absolutely fucking awful. Nothing else to say they're all a bunch of choking fucks. I'm tired of the it's ten games in no this shit isn't going to go away!"
x983092408756957184,4/8/2018 21:21,x982024132727595009,breezyjones11,Where is the real 2k players at that’s not hollywood I’m tired of running with scrubs killing my record<f0><U+009F><U+00A4><U+00A6><f0><U+009F><U+008F><U+00BD><U+200D><U+2642><U+FE0F><f0><U+009F><U+0098><U+0092>,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Where is the real 2k players at that's not hollywood I'm tired of running with scrubs killing my record
x983081847491055616,4/8/2018 20:39,x4144864468,JamxliVe,Y’all really can’t sleep on Flatbush Zombies,Twitter for iPhone,,,,FALSE,FALSE,9,1,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Y'all really can't sleep on Flatbush Zombies
x983072908317782019,4/8/2018 20:03,x389202964,femcop83,"Really enjoying my bed and lifetime today , lazy arse ..",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,"Really enjoying my bed and lifetime today , lazy arse .."
x983050509413167104,4/8/2018 18:34,x3064084029,_xoamaya,@troyloso deadass!! i’m real life tired of it now <f0><U+009F><U+0099><U+0084>,Twitter for iPhone,x983049539593670657,x80320988,troyloso,FALSE,FALSE,1,1,,,,,,,,,,,,,,x80320988,troyloso,en,,,,,,,,,,,,,,@troyloso deadass!! i'm real life tired of it now
