status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,plaintext
x981883286984282112,4/5/2018 13:16,x11963132,whitneyhess,“Silence is the sleep that nourishes wisdom.” — Francis Bacon,Tweetbot for i<U+039F>S,,,,FALSE,FALSE,6,1,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Silence is the sleep that nourishes wisdom. Francis Bacon
x981792183966547968,4/5/2018 7:14,x1689226891,_king_stripes,You may be tired of spinning your wheels and feeling like you'... More for Taurus https://t.co/2jS7bCD7Gb,Twittascope,,,,FALSE,FALSE,0,0,,,bit.ly/wMRKBc,https://t.co/2jS7bCD7Gb,http://bit.ly/wMRKBc,,,,,,,,,,,en,,,,,,,,,,,,,,You may be tired of spinning your wheels and feeling like you'... More for Taurus
x981733348677648384,4/5/2018 3:20,x430341856,NYMetroIowaClub,Congrats to all our participants in our 1st ever #nychawkeyes trivia night and to tonight's winners. We'll see you tomorrow for the Grant Wood event @whitneymuseum at 6:30. Now go get some sleep! https://t.co/fPhOscLlzC,Twitter for Android,,,,FALSE,FALSE,13,3,nychawkeyes,,,,,http://pbs.twimg.com/media/DZ_RRW6XkAAjIrV.jpg,https://t.co/fPhOscLlzC,https://twitter.com/NYMetroIowaClub/status/981733348677648384/photo/1,photo,http://pbs.twimg.com/media/DZ_RRW6XkAAjIrV.jpg,https://t.co/fPhOscLlzC,https://twitter.com/NYMetroIowaClub/status/981733348677648384/photo/1,,x16517711,whitneymuseum,en,,,,,https://api.twitter.com/1.1/geo/id/07d9ec75cec80001.json,Playwright Irish Pub,Playwright Irish Pub,poi,United States,US,,,-73.985442 -73.985442 -73.985442 -73.985442 40.749767 40.749767 40.749767 40.749767,Congrats to all our participants in our 1st ever #nychawkeyes trivia night and to tonight's winners. We'll see you tomorrow for the Grant Wood event @whitneymuseum at 6:30. Now go get some sleep!
x981703412726321152,4/5/2018 1:21,x17015229,evvie85,"Being sick in bed sucks, but having #rhony back is making it all better. @Bravotv you still got it!!",Twitter for iPhone,,,,FALSE,FALSE,0,0,rhony,,,,,,,,,,,,,x15169907,Bravotv,en,,,,,,,,,,,,,,"Being sick in bed sucks, but having #rhony back is making it all better. @Bravotv you still got it!!"
x981699212785135616,4/5/2018 1:05,x305754673,mag_vinicius,Loved Empty Bed by Motorama on https://t.co/MjOsNSowmO  #jotafm,Jota.fm,,,,FALSE,FALSE,0,0,jotafm,,last.fm,https://t.co/MjOsNSowmO,http://last.fm,,,,,,,,,,,en,,,,,,,,,,,,,,Loved Empty Bed by Motorama on #jotafm
x981654890006175744,4/4/2018 22:08,x26243838,markienyc,From our bed we can wake up to see Diamond Head. @ Sheraton Waikiki https://t.co/s4hoV6w4fG,Instagram,,,,FALSE,FALSE,1,0,,,instagram.com/p/BhKi0Q3H8Ub3…,https://t.co/s4hoV6w4fG,https://www.instagram.com/p/BhKi0Q3H8Ub3IvD6s0f0bpZ_Mh6X_4ZJ4tMRws0/,,,,,,,,,,,en,,,,,,,,,,,,,,From our bed we can wake up to see Diamond Head. @ Sheraton Waikiki
x981637634962403328,4/4/2018 21:00,x1004943727,JOBSatAKA,Our Managed Services team is hiring! Looking for senior #MSDYNAX consultants who are tired of travel but love consulting! https://t.co/WX11mlE77F #MSDYNCOMM #remote,Sprout Social,,,,FALSE,FALSE,0,0,MSDYNAX MSDYNCOMM remote,,akaes.com/careers,https://t.co/WX11mlE77F,http://akaes.com/careers,,,,,,,,,,,en,,,,,,,,,,,,,,Our Managed Services team is hiring! Looking for senior #MSDYNAX consultants who are tired of travel but love consulting!#MSDYNCOMM #remote
x981635958633390082,4/4/2018 20:53,x41936014,fuqof,WHEN I GO TO SLEEP AT NIGHT DO YOU CARE????,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,WHEN I GO TO SLEEP AT NIGHT DO YOU CARE????
x981613616108658688,4/4/2018 19:24,x454625203,Jayrhome_gh,You people dey make noise about Ronaldo ihn bicycle shid. Messi dey make defenders score give am. He’s tired of scoring <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,You people dey make noise about Ronaldo ihn bicycle shid. Messi dey make defenders score give am. He's tired of scoring
x981567666983985152,4/4/2018 16:22,x894325736,GwendyTurnbull,NYC: no sleep for this city! #NewYorkCity https://t.co/BqAjohW3Iy,Twitter for iPhone,,,,FALSE,FALSE,1,0,NewYorkCity,,,,,http://pbs.twimg.com/media/DZ86ld_XUAAwGhR.jpg,https://t.co/BqAjohW3Iy,https://twitter.com/GwendyTurnbull/status/981567666983985152/photo/1,photo,http://pbs.twimg.com/media/DZ86ld_XUAAwGhR.jpg,https://t.co/BqAjohW3Iy,https://twitter.com/GwendyTurnbull/status/981567666983985152/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/07d9e86b35882000.json,Times Square Terrace,Times Square Terrace,poi,United States,US,,,-73.9858409211945 -73.9858409211945 -73.9858409211945 -73.9858409211945 40.7605356825219 40.7605356825219 40.7605356825219 40.7605356825219,NYC: no sleep for this city! #NewYorkCity
x981544449774964736,4/4/2018 14:50,x34649188,nilsareyna,I love these posters and this organization! They do so much to help artists. I attended a sleep seminar a few weeks ago and it was very helpful. #theactorsfund https://t.co/JaERIjI1qs,Twitter for iPhone,,,,FALSE,FALSE,0,0,theactorsfund,,,,,http://pbs.twimg.com/media/DZ8ldwPX4AAhTSu.jpg,https://t.co/JaERIjI1qs,https://twitter.com/nilsareyna/status/981544449774964736/photo/1,photo,http://pbs.twimg.com/media/DZ8ldwPX4AAhTSu.jpg,https://t.co/JaERIjI1qs,https://twitter.com/nilsareyna/status/981544449774964736/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/07d9ecbfcec81000.json,The Actors Fund,The Actors Fund,poi,United States,US,,,-73.9837059785788 -73.9837059785788 -73.9837059785788 -73.9837059785788 40.7603892729063 40.7603892729063 40.7603892729063 40.7603892729063,I love these posters and this organization! They do so much to help artists. I attended a sleep seminar a few weeks ago and it was very helpful. #theactorsfund
x981472204599840768,4/4/2018 10:03,x210236137,astoldbyJkae,… tired of everything.,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,tired of everything.
x981470909365215233,4/4/2018 9:57,x705101970521116672,giftfromaries,I can't sleep https://t.co/uLvk0UGsFr,Twitter for Android,,,,FALSE,FALSE,1,0,,,,,,http://pbs.twimg.com/media/DZ7ilmzXUAIcVo7.jpg,https://t.co/uLvk0UGsFr,https://twitter.com/giftfromaries/status/981470909365215233/photo/1,photo,http://pbs.twimg.com/media/DZ7ilmzXUAIcVo7.jpg,https://t.co/uLvk0UGsFr,https://twitter.com/giftfromaries/status/981470909365215233/photo/1,,,,en,,,,,,,,,,,,,,I can't sleep
